name,namings,Ibnhajar_rank,shuhra,laqab,nasab,selat_karaba,mazhab,kunia,death_year,tabaqa,zahabi_rank,living_city,birth_year,death_city,journey_city,id,narrated_from,narrated_to,id_in_full_list
حيوة بن شريح بن صفوان بن مالك,"['أبو شريح', 'حيوة', 'حيوة بن شريح', 'حيوة بن شريح الشامي', 'حيوة بن شريح الكندي', 'حيوة بن شريح الكندي التجيبي', 'حيوة بن شريح المصري', 'حيوة بن شريح بن بكر بن عمرو المعافري', 'حيوة وعمر بن مالك', 'حيوة وهو ابن شريح', 'حيوة يعني ابن شريح']",ثقة ثبت فقيه زاهد.,-,-,التجيبي ، المصري ، الحضرمي ، الكندي ، الزاهد ، العابد,-,-,أبو زرعة.,قال المقرئ : 158 هـ . وقال ابن يونس : 153 هـ . وقال أبو نصر الكلاباذي : 159 هـ .,السابعة.,فقيه مصر وزاهدها ومحدثها.,مصر.,-,-,-,52,"[1737, 753, 404, 462, 1591, 174, 186, 1485, 839, 1117, 1596, 53, 446, 1872, 221, 463, 377, 1106, 891, 273, 304, 158]","[154, 848, 238, 221, 215, 254, 220, 260]",2326
دراج بن سمعان ، قيل : اسمه عبد الله ، وقيل : عبد الرحمن,"['أبو السمح', 'أبو السمح دراج بن سمعان', 'أبو السمح دراجا', 'أبو الشيخ', 'دراج', 'دراج أبو السمح']",صدوق في حديثه عن أبي الهيثم ، ضعف,-,دراج,القرشي ، السهمي مولاهم ، المصري ، القاص ، التجيبي,مولى عبد الله بن عمرو بن العاص السهمي,-,أبو السمح,126 هـ ، وقال ابن حبان : 182 هـ,الرابعة,وثقه ابن معين بس . وقال أبو داود وغيره : حديثه مستقيم إلا ما كان عن أبي الهيثم,مصر,قال ابن حبان : 125 هـ,-,-,53,"[538, 1855, 54, 892, 1289, 50, 463]","[52, 285, 446, 851, 221, 537, 260]",4833
عبد الرحمن بن جبير,"['عبد الرحمن بن جبير', 'عبد الرحمن بن جبير مولى نافع بن عبد عمرو القرشي', 'عبد الرحمن بن جبير مولى نافع بن عمرو القرشي', 'عبد الله بن جبير']",ثقة ، عارف بالفرائض,-,-,المصري ، الفرضي ، المؤذن ، العامري ، القرشي,مولى: نافع مولى بن عمرو ، و يقال : ابن عبد عمرو بن نضلة القرشي العامري,-,-,97 هـ ، وقيل : 98 هـ,الثالثة,ثقة فقيه مقرئ,مصر,-,-,-,54,"[301, 1276, 50, 190, 55, 103, 496, 105]","[404, 187, 831, 53, 463, 891, 158, 1548]",3999
عمارة بن عبد الله بن صياد,"['عمارة بن صياد', 'عمارة بن عبد الله', 'عمارة بن عبد الله بن صياد']",ثقة فاضل,-,-,الأنصاري ، المدني ، النجاري,-,-,أبو أيوب,بعد 130 هـ,الرابعة,وثقه ابن معين ، وقال ابن سعد : كان مالك لا يقدم عليه في الفضل أحدا,-,-,-,-,55,"[56, 85, 1264]","[83, 54]",7326
خالد بن زيد بن كليب بن ثعلبة بن عبد عمرو بن عوف بن غنم بم مالك بن النجار : وهو  تيم الله ، ابن ثعلبة بن الخزرج بن حارثة بن ثعلبة بن عمرو بن عامر بن حارثة بن امرئ القيس بن ثعلبة بن مازن بن الأزد بن الغوث بن نبت بن مالك بن زيد بن كهلان بن سبأ,"['أبو أيوب', 'أبو أيوب الأزدي', 'أبو أيوب الأنصاري', 'أبو أيوب بن زيد', 'أبو أيوب بن زيد الأنصاري', 'أبو أيوب خالد بن زيد', 'أبو أيوب يعني الأنصاري', 'أبو الأنصاري', 'أيوب الأنصاري', 'ابن أبي أيوب الأنصاري', 'الأنصاري', 'الملي أبو أيوب', 'جده', 'خالد بن زيد', 'خالد بن زيد الأنصاري']",من كبار الصحابة.,أبو أيوب,-,الأنصاري ، الخزرجي ، النجاري ، البدري ، المديني.,أمه : هند بنت سعيد بن عمرو ، وابن أخيه : أبو سورة الأنصاري ، وآخى النبي -صلى الله عليه وسلم- بينه وبين مصعب بن عمير ، واستخلفه علي على المدينة لما خرج إلى العراق.,-,أبو أيوب.,50 هـ . او : 52 هـ . او : 55 هـ ، وقيل : 51 هـ.,من كبار الصحابة,بدري جليل.,المدينة.,-,القسطنطينية ببلاد الروم.,-,56,"[13, 29, 190, 381, 934]","[447, 606, 2134, 2159, 577, 117, 765, 609, 1303, 264, 498, 1458, 994, 359, 910, 1769, 182, 1406, 1028, 94, 337, 1104, 85, 2062, 1494, 598, 1012, 1160, 1595, 897, 709, 370, 49, 1911, 251, 66, 97, 560, 697, 377, 714, 690, 1313, 1264, 382, 55, 258, 730, 483, 304, 488, 2083, 887, 477, 1592, 1052]",406
إسرائيل بن يونس بن أبي إسحاق,"['أبو يوسف', 'إسرئيل', 'إسرائيل', 'إسرائيل بن أبي إسرائيل', 'إسرائيل بن يونس', 'إسرائيل بن يونس بن أبي إسحاق', 'إسرائيل بن يونس بن عمرو بن عبد الله', 'إسرائيل يعني ابن يونس بن أبي إسحاق']",ثقة ، تُكلم فيه بلا حجة,-,الحافظ,الحافظ ، السبيعي ، الهمداني ، الكوفي,أخو عيسى بن يونس ، وابن عمه يوسف بن إسحاق بن أبي إسحاق السبيعي ، وابن أخيه غصن بن حماد : محمد بن يونس بن أبي إسحاق ، من أتقن أصحاب أبي إسحاق السبيعي,-,أبو يوسف,قال أبو نعيم ، وقعنب بن المحرر : 160 هـ . وقال هارون بن حاتم ، عن دبيس : 161 هـ . وقال خليفة بن خياط ، ومحمد بن سعد : 162 هـ ، وقال مغلطاي : 164 هـ,السابعة,قال أحمد : ثقة ، وتعجب من حفظه ، وقال أبو حاتم : هو من أتقن أصحاب أبي إسحاق ، وضعفه ابن المديني,-,100 هـ,-,بغداد,57,"[2177, 841, 810, 988, 1116, 692, 742, 753, 1082, 117, 779, 817, 985, 771, 58, 1268, 596, 497, 87, 603, 947, 868, 86, 16, 1247, 662, 663, 616, 501, 300, 17, 986, 357, 256, 659, 273, 280, 879]","[168, 2038, 1004, 1677, 510, 1236, 480, 295, 961, 787, 1234, 564, 819, 639, 1325, 886, 410, 155, 603, 543, 1140, 386, 1168, 169, 1590, 285, 299, 65, 741, 459, 783, 867, 1282, 433, 81, 689, 375, 943, 756, 1009, 215, 0, 360, 675, 2053, 534, 333, 764, 1207, 352, 837, 125, 850, 107, 950, 39, 723, 226, 121, 71, 319]",62
جعفر بن الزبير,"['ابن الزبير', 'جعفر', 'جعفر الدمشقي', 'جعفر بن الزبير', 'جعفر بن الزبير الحنفي']",متروك الحديث ، وكان صالحا في نفسه,-,-,الحنفي ، وقيل : الباهلي ، الدمشقي ، الشامي ، بصري ، مولى بني قتيبة,مولى بني قتيبة,-,-,بعد : 140 هـ,السابعة,عابد ، ساقط الحديث,البصرة,-,-,-,58,"[730, 59]","[667, 57, 842, 603, 459, 16, 226]",3624
مسلم بن مشكم,"['أبو عبد الله', 'أبو عبيد الله', 'أبو عبيد الله مسلم بن مشكم', 'مسلم', 'مسلم بن مشكم', 'مسلم بن مشكم أبا عبد الله', 'مسلم بن مشكم أبا عبيد الله', 'مسلم بن مشكم أبا عبيد الله أو قال أبا عبد الله', 'مسلم بن مشكم كاتب أبي الدرداء']",ثقة مقرئ,-,-,الخزاعي ، الدمشقي ، الشامي,كاتب أبي الدرداء,-,أبو عبيد الله ، أبو عبد الله,101 هـ و110 هـ,كبار الثالثة,ثقة,-,-,-,-,59,"[1663, 1296, 49, 97, 60, 176, 654, 496, 105, 302, 495]","[58, 1418]",3625
عمرو بن غيلان بن سلمة,"['عبد الله بن عمرو بن غيلان الثقفي', 'عمرو بن غيلان الثقفي']",مختلف في صحبته,-,-,الثقفي ، الشامي,ابنه عبد الله بن عمرو بن غيلان من كبار رجال معاوية,-,أبو عبد الله,-,مختلف في صحبته,مختلف في صحبته,البصرة ،  الطائف,-,-,-,60,[61],[59],17286
عبد الله بن مسعود بن غافل بن حبيب بن شمخ بن مخزوم ، ويقال : ابن شمخ بن فار بن مخزوم بن صاهلة بن كاهل بن الحارث بن تميم بن سعد بن هذيل بن مدركة بن إلياس بن مضر بن نزار بن معد بن عدنان,"['أبو عبد الرحمن', 'أبو عبد الرحمن يعني ابن مسعود', 'أبوك', 'أبوه', 'أبوه عبد الله بن مسعود', 'أبوها', 'أبي', 'أبيه', 'ابن أم عبد', 'ابن مسعود', 'جده', 'رب هذه الدار', 'صاحب هذه الدار وأشار إلى دار عبد الله', 'عبد الله', 'عبد الله بن مسعود', 'عبد الله هو ابن مسعود', 'عبد الله وهو ابن مسعود', 'عبد الله يعني ابن مسعود']",من السابقين الأولين ، ومن كبار العلماء من الصحابة ، مناقبه جمة,-,-,الهذلي ، المكي ، المهاجري ، البدري ، الزهري حليفهم,صاحب رسول الله صلى الله عليه وسلم ، وحليف بني زهرة ، وأمه أم عبد بنت عبد ود بن سواء بن قريم بن صاهلة بن كاهل بن الحارث بن تميم بن سعد بن هذيل ، وأمها هند بنت عبد بن الحارث بن زهرة ، وبنوه : عبد الرحمن وأبو عبيدة وعتبة وسارة ، وابن أخيه عبد الله بن عتبة ، وامرأته زينب الثقفية ، وآخى النبي صلى الله عليه وسلم بينه وبين الزبير ، وبعد الهجرة بينه وبين سعد بن معاذ ، وقيل : آخى النبي صلى الله عليه وسلم بين أنس وابن مسعود ، وقيل : آخى النبي صلى الله عليه وسلم بينه وبين معاذ بن جبل ، وقيل : بينه وبين الزبير، وأمره عمر على الكوفة ، ومن التابعين أصحابه الفقهاء الأسود ، ومسروق ، وعبيدة ، وشريح ، والحارث,-,أبو عبد الرحمن,28 هـ ، أو 32 هـ ، 33 هـ,من السابقين الأولين ، ومن كبار العلماء من الصحابة,من السابقين الأولين,الكوفة ، مكة,-,المدينة ، وقيل : بالكوفة ، والأول أثبت,الحبشة ، المدينة,61,"[14, 265, 439, 104, 363, 23, 105, 752, 1459]","[372, 692, 1185, 255, 2059, 940, 1030, 1754, 982, 820, 753, 1604, 117, 779, 1303, 264, 102, 1623, 1164, 324, 771, 1381, 760, 1979, 910, 596, 1179, 24, 453, 677, 497, 1549, 87, 1197, 1769, 1519, 313, 426, 620, 43, 895, 861, 1028, 1157, 896, 1929, 175, 424, 1946, 1601, 1578, 1104, 478, 1655, 452, 595, 85, 299, 65, 197, 438, 939, 16, 1257, 989, 708, 679, 297, 598, 931, 607, 1187, 199, 1453, 1012, 1186, 1750, 1283, 663, 42, 1555, 427, 370, 1183, 49, 944, 1042, 1433, 1146, 1355, 464, 10, 1430, 621, 1588, 451, 18, 1545, 251, 66, 1298, 1701, 97, 493, 439, 507, 697, 757, 377, 501, 1850, 714, 690, 1264, 1497, 382, 104, 431, 949, 258, 537, 378, 17, 60, 381, 730, 1163, 362, 716, 986, 357, 198, 483, 1622, 659, 273, 280, 304, 614, 643, 1540, 887, 752, 477, 571, 562, 879, 2067, 423, 2203, 1194]",529
أحمد بن إسحاق بن أيوب بن يزيد,"['أبو الإمام أبو بكر أحمد بن إسحاق بن أيوب', 'أبو الزياد بن إسحاق الفقيه', 'أبو العباس الصبغي', 'أبو بكار بن إسحاق الفقيه', 'أبو بكر', 'أبو بكر أحمد', 'أبو بكر أحمد بن إسحاق', 'أبو بكر أحمد بن إسحاق الإمام', 'أبو بكر أحمد بن إسحاق الصبغي', 'أبو بكر أحمد بن إسحاق الفقيه', 'أبو بكر أحمد بن إسحاق بن أيوب', 'أبو بكر أحمد بن إسحاق بن أيوب الإمام', 'أبو بكر أحمد بن إسحاق بن أيوب الفقيه', 'أبو بكر الإمام', 'أبو بكر الشافعي', 'أبو بكر بن أحمد بن إسحاق', 'أبو بكر بن إسحاق', 'أبو بكر بن إسحاق الإمام', 'أبو بكر بن إسحاق الفقيه', 'أبو بكر بن إسحاق القاضي', 'أبو بكر بن إسحاق بن إسحاق', 'أبو بكر محمد بن إسحاق', 'أبو بكر هو ابن إسحاق الفقيه', 'أحمد بن إسحاق', 'أحمد بن إسحاق الفقيه', 'أحمد بن إسحاق بن أيوب الفقيه', 'ابن إسحاق', 'الإمام أبو بكر أحمد بن إسحاق', 'الإمام أبو بكر أحمد بن إسحاق الفقيه', 'الإمام أبو بكر أحمد بن إسحاق بن أيوب', 'الإمام أبو بكر بن إسحاق', 'الإمام أبو بكر بن إسحاق الفقيه', 'الشيخ أبو بكر', 'الشيخ أبو بكر أحمد بن إسحاق', 'الشيخ أبو بكر أحمد بن إسحاق الإمام', 'الشيخ أبو بكر أحمد بن إسحاق الفقيه', 'الشيخ أبو بكر بن إسحاق', 'الشيخ أبو بكر بن إسحاق الفقيه', 'الشيخ الإمام أبو بكر بن إسحاق', 'محمد بن إسحاق بن أيوب']",-,الصبغي,-,النيسابوري ، الشافعي ، الصبغى,-,الشافعى,أبو بكر,342 هـ,-,-,نيسابور,258 هـ,-,الحجاز ، مكة ، والعراق ، والبصرة ، وبغداد ، والري,62,"[1323, 429, 920, 445, 515, 63, 46, 534, 219, 531, 759, 412, 1353, 528, 551, 533, 1819, 314, 499, 123, 1504, 99, 1288, 1178, 1045, 1801, 720, 522, 455, 1534, 655, 1464, 739, 1190, 38, 183, 592, 624, 150, 814, 435, 1743, 346, 178, 191, 1211, 556, 118]","[587, 976, 1180, 161, 67, 5, 407, 269, 921, 128, 719, 35]",343
سليمان بن الأشعث بن إسحاق بن بشير بن شداد بن عمرو بن عمران ، وقيل : سليمان بن الأشعث بن بشر بن شداد ، وقيل : سليمان بن الأشعث بن  شداد بن عمرو بن عامر,"['أبو داؤد', 'أبو داود', 'أبو داود السجستاني', 'أبو داود سليمان بن أشعث السجستاني', 'أبو داود سليمان بن الأشعب السجستاني', 'أبو داود سليمان بن الأشعث', 'أبو داود سليمان بن الأشعث السجزي', 'أبو داود سليمان بن الأشعث السجستاني', 'أبو داود سليمان بن داود السجستاني', 'أبو داود هو السجستاني', 'أبو داود وهو السجستاني', 'أبو دواد', 'أبي', 'سليمان بن الأشعث', 'سليمان بن الأشعث السجستاني', 'سليمان بن الأشعث السجستاني وهو أبو داود', 'سليمان بن الأشعث بن إسحاق أبو داود']",ثقة ، حافظ ، مصنف السنن وغيرها ، من كبار العلماء,-,الحافظ,الأزدي ، السجستاني ،  الحافظ,و أبو عيسى إسحاق بن موسى بن سعيد الرملي وراق أبي داود ،وابنه أبو بكر عبد الله بن أبي داود,-,أبو داود,275 هـ,الحادية عشرة,ثبت ، حجة ، إمام ، عامل,البصرة,202 هـ ، أو 203 هـ,البصرة,بغداد ،البصرة ، الري، الشام ،نيسابور ، خراسان ،الكوفة,63,"[1137, 638, 1665, 1364, 593, 1209, 563, 380, 1726, 1625, 1531, 1766, 1004, 658, 1342, 529, 116, 549, 1686, 409, 1999, 70, 1255, 1661, 700, 1853, 1108, 721, 836, 75, 510, 2052, 776, 1386, 1977, 253, 1173, 64, 1664, 1291, 154, 956, 1568, 1105, 1049, 1216, 329, 572, 818, 308, 555, 608, 1402, 755, 1482, 485, 848, 1031, 1528, 237, 1505, 136, 927, 582, 445, 987, 1154, 1666, 1493, 1272, 371, 1439, 882, 1181, 1563, 195, 1414, 1224, 916, 650, 272, 1063, 113, 416, 355, 660, 133, 289, 459, 1229, 584, 1279, 238, 747, 92, 367, 1238, 875, 1491, 1324, 184, 1034, 267, 126, 135, 589, 215, 500, 0, 344, 214, 1202, 254, 1422, 1156, 1114, 534, 347, 695, 688, 279, 613, 567, 1870, 999, 1438, 763, 1551, 568, 834, 1559, 219, 823, 1013, 615, 844, 143, 800, 790, 1101, 209, 945, 332, 759, 822, 412, 1231, 1547, 456, 394, 477, 505, 1821, 151, 840, 740, 121, 1215, 101, 656, 2020, 2105, 167]","[228, 69, 245, 775, 706, 758, 62, 694, 869]",74
أحمد بن محمد بن أحمد بن محمد بن أبي خلف,"['أحمد بن أبي خلف', 'أحمد بن أبي خلف البغداذي', 'أحمد بن محمد بن أبي خلف']",ثقة,-,-,البغدادي ، القطيعي,-,-,-,233 هـ,العاشرة,-,الكوفة,-,-,-,64,"[1234, 65]","[63, 46, 123, 124]",14197
سفيان بن عيينة بن أبي عمران : ميمون,"['أبو عيينة', 'أبو محمد', 'أبو محمد الهلالي وهو سفيان بن عيينة', 'ابن علية', 'ابن عيسى', 'ابن عيينة', 'سفيان', 'سفيان بن عبد الله', 'سفيان بن عيبنة', 'سفيان بن عيينة', 'سفيان بن عيينة أبو محمد', 'سفيان بن عيينة أبو محمد الهلالي', 'سفيان بن عيينة الهلالي', 'سفيان بن عيينة بن أبي عمران الهلالي', 'سفيان بن عيينة بن ميمون بن عمران وهو مولى محمد بن مزاحم أخي الضحاك بن مزاحم الهلالي', 'سفيان رجل من أهل السوق', 'سفيان هو ابن عيينة', 'سفيان وهو ابن عيينة', 'سفيان يعني ابن عيينة', 'سليمان']",ثقة حافظ فقيه ، إمام حجة إلا أنه تغير حفظه بأخرة ، وكان ربما دلس لكن عن الثقات,-,الأعور,الهلالي مولاهم ، الكوفي ، ثم المكي ، الأعور,مولى محمد بن مزاحم أخي الضحاك بن مزاحم ، وقال العجلي : مولى لمسعر بن كدام من أسفل ، وقال ابن سعد : مولى بني عبد الله بن رويبة من بني هلال بن عامر بن صعصعة ، وقال أبو داود : مولى الضحاك بن مزاحم ، وإخوته : إبراهيم ، ومحمد ، وآدم  ، وعمران,نسبه ابن عدي إلى شيء من التشيع,أبو محمد,197 هـ  أو 198 هـ,من رؤس الطبقة الثامنة,أحد الأعلام ، ثقة ، ثبت ، حافظ ، إمام,الكوفة ، مكة,107 هـ,مكة,الشام,65,"[594, 743, 2106, 692, 606, 1512, 1123, 1132, 909, 1457, 57, 820, 376, 467, 1007, 1560, 686, 1082, 264, 102, 261, 707, 1118, 985, 860, 1088, 771, 239, 217, 1979, 910, 1167, 1669, 677, 842, 87, 544, 901, 426, 216, 513, 1001, 40, 868, 175, 696, 1707, 906, 86, 85, 299, 1631, 438, 16, 398, 679, 867, 138, 25, 287, 420, 1012, 1186, 98, 662, 663, 388, 430, 49, 134, 354, 803, 185, 1119, 451, 251, 66, 503, 441, 157, 1362, 61, 305, 377, 501, 156, 690, 159, 23, 537, 378, 17, 177, 357, 198, 2, 659, 273, 323, 304, 488, 286, 879, 21, 423, 457]","[168, 1137, 1783, 1209, 563, 946, 1020, 1411, 791, 674, 863, 1380, 700, 1853, 1398, 510, 1386, 253, 64, 1291, 154, 812, 415, 956, 1049, 818, 1191, 920, 1026, 480, 308, 787, 1770, 608, 564, 1219, 1402, 819, 404, 828, 1031, 1528, 639, 969, 927, 179, 1571, 987, 1925, 1493, 1232, 1325, 9, 1272, 886, 1054, 155, 893, 169, 1345, 210, 272, 1063, 20, 573, 164, 206, 937, 355, 299, 576, 289, 459, 16, 138, 1400, 238, 233, 92, 367, 81, 375, 1166, 184, 1034, 2155, 589, 215, 0, 344, 247, 214, 360, 254, 220, 377, 675, 1422, 534, 333, 347, 695, 636, 613, 1207, 470, 567, 511, 1811, 748, 517, 999, 352, 568, 122, 837, 1077, 823, 615, 107, 143, 759, 412, 960, 1547, 512, 1736, 76, 151, 840, 226, 147, 632, 121, 21, 71, 656, 625, 547, 193, 802, 1410, 146, 1058, 1155]",192
أبو سلمة بن عبد الرحمن بن عوف بن عبد عوف بن الحارث بن زهرة بن كلاب بن مرة بن كعب بن لؤي بن غالب ، قيل : اسمه عبد الله ، وقيل : إسماعيل ، وقيل : اسمه وكنيته واحد,"['أبو أسامة', 'أبو سلمان', 'أبو سلمة', 'أبو سلمة ابن عبد الرحمن', 'أبو سلمة بن أبي عبد الرحمن', 'أبو سلمة بن عبد الرحمن', 'أبو سلمة بن عبد الرحمن بن عوف', 'أبو سلمة بن عبد الرحمن بن عوف الزهري', 'أبو سلمة بن عبد الله', 'أبو سلمة هو ابن عبد الرحمن', 'أبو سلمة وهو ابن عبد الرحمن', 'أبو سلمة يعني ابن عبد الرحمن', 'أبو سلمة يعني ابن عبد الرحمن بن عوف', 'أبيه', 'أسامة بن عبد الرحمن', 'سلمة بن عبد الرحمن']",ثقة ، مكثر,-,-,القرشي ، الزهري ، المدني,أمه : تماضر بنت الأصبغ بن عمرو بن ثعلبة بن حصن بن ضمضم بن عدي بن جندب بن هبل ، وابنه : عمر بن أبي سلمة بن عبد الرحمن ، وأولاد إخوته : زرارة بن مصعب بن عبد الرحمن بن عوف ، وسعد بن إبراهيم بن عبد الرحمن بن عوف ، وعبد المجيد بن سهيل بن عبد الرحمن بن عوف,-,أبو سلمة,94 هـ ، أو 104 هـ,الثالثة,-,-,20 هـ وبضع,المدينة,-,66,"[1302, 1749, 2060, 13, 235, 325, 335, 2215, 264, 498, 804, 715, 324, 1093, 1885, 301, 434, 1669, 453, 805, 1561, 56, 506, 479, 806, 171, 710, 94, 337, 1690, 520, 14, 1147, 478, 1148, 85, 1205, 1914, 598, 338, 98, 1908, 663, 12, 1158, 1359, 49, 275, 1289, 680, 504, 621, 450, 251, 265, 97, 50, 439, 61, 29, 714, 1264, 300, 23, 405, 1515, 103, 176, 496, 110, 177, 105, 302, 971, 173]","[1241, 929, 1056, 1091, 642, 820, 376, 262, 102, 174, 186, 832, 1245, 453, 691, 1578, 696, 1707, 906, 170, 1956, 85, 299, 65, 197, 1631, 398, 1247, 334, 138, 420, 83, 663, 616, 388, 902, 943, 354, 10, 185, 1119, 1074, 1362, 1529, 377, 501, 570, 714, 690, 1264, 1393, 405, 378, 402, 17, 1348, 716, 1319, 84, 273, 600, 304, 488, 477, 286, 571, 158, 128]",303
محمد بن الحسين بن محمد بن موسى,"['أبو عبد الرحمن', 'أبو عبد الرحمن السلمي', 'أبو عبد الرحمن محمد بن الحسين السلمي', 'محمد بن الحسين السلمي', 'محمد بن الحسين النيسابوري']",-,-,-,الأزدي ،  السلمي ، النيسابوري,-,الصوفي,أبو عبد الرحمن,412هـ,-,-,-,330هـ ، أو 333هـ ، وقيل : 325هـ ،,-,نيسابور ، ومرو ، والعراق ، والحجاز,67,"[639, 1210, 522, 1100, 542, 62, 877, 1927, 68, 128, 1037, 1544, 435, 955, 719, 1089, 527, 422, 270, 1495, 1057, 1144]","[5, 35, 859]",1973
أحمد بن علي بن الحسن بن شاذان,"['أبو حامد أحمد بن علي المقرئ', 'أحمد بن علي المقرئ', 'أحمد بن علي المقري', 'أحمد بن علي بن الحسن', 'أحمد بن علي بن الحسن المقري']",-,-,-,النيسابوري ، المقرئ ، التاجر,-,-,أبو حامد,350 هـ,-,-,-,248 هـ,-,ترمذ .,68,"[849, 69]","[67, 5]",296
محمد بن عيسى بن سورة بن موسى بن الضحاك ، وقيل : محمد بن عيسى بن يزيد بن سورة بن السكن,"['أبو عيسى', 'أبو عيسى الترمذي', 'أبو عيسى محمد بن سورة الترمذي', 'أبو عيسى محمد بن عيسى', 'أبو عيسى محمد بن عيسى الترمذي', 'أبو عيسى محمد بن عيسى بن سورة', 'أبو عيسى محمد بن عيسى بن سورة الترمذي', 'محمد']",ثقة حافظ,زعم ابن دحية أنه يعرف بابن الدهان,الحافظ,السلمي ، الترمذي ، الضرير ، الحافظ ، البوغي,-,-,أبو عيسى,279 هـ ، وفي إكمال التهذيب : 275 هـ,الثانية عشرة,الحافظ,خراسان,في حدود 210 هـ,قرية بوغ بترمذ,-,69,"[1427, 563, 474, 990, 1531, 658, 476, 116, 549, 1807, 1646, 857, 1876, 1281, 70, 1661, 1398, 1810, 776, 1386, 1671, 1387, 1423, 812, 956, 737, 1171, 1105, 920, 1026, 608, 755, 340, 1482, 419, 1723, 303, 927, 179, 445, 1571, 987, 1493, 2135, 374, 371, 195, 1587, 1063, 113, 20, 164, 660, 576, 1250, 133, 63, 1328, 1440, 1833, 747, 1441, 401, 1842, 1110, 1324, 1034, 267, 126, 135, 1202, 1970, 1156, 1114, 2071, 999, 763, 8, 568, 219, 125, 531, 1013, 1237, 615, 1431, 790, 1101, 1714, 332, 759, 786, 412, 922, 1231, 512, 465, 456, 307, 1767, 722, 656, 574]","[958, 68, 1000]",297
أحمد بن سعيد بن إبراهيم,"['أحمد بن سعيد', 'أحمد بن سعيد أبو عبد الله', 'أحمد بن سعيد الأشقر', 'أحمد بن سعيد الأشقر الرباطي', 'أحمد بن سعيد الخراساني', 'أحمد بن سعيد الرباطي', 'أحمد بن سعيد الرباطي مروزي', 'أحمد بن سعيد المرابطي', 'أحمد بن سعيد المروزي', 'أحمد بن سعيد المروزي الرباطي', 'أحمد بن سعيد بن إبراهيم', 'أحمد بن سعيد يعني الرباطي']",ثقة حافظ,-,الأشقر ، الحافظ,الحافظ ، الرباطي ، المروزي ، الأشقر,كان مولى على الرباطات لعبد الله بن طاهر,-,أبو عبدالله,قال القباني : بعد سنة الرجفة سنة 243 هـ . وقال الحاكم : في آخر 245 هـ . وحكى البخاري عن ابن أحمد : 246 هـ . وقال أبو علي الحافظ : 251 هـ ، وقيل : 259 هـ,الحادية عشرة,الحافظ,نيسابور,-,قومس,بغداد,70,"[154, 866, 1236, 1338, 169, 375, 39, 71, 101]","[63, 125, 307, 228, 69, 411, 739]",1124
يزيد بن هارون بن زاذي ، ويقال : زاذان بن ثابت  .,"['أبو خالد', 'أبو خالد وليس بالأحمر', 'ابن بكر', 'ابن هارون', 'هارون', 'يزيد', 'يزيد المازني', 'يزيد بن هارون', 'يزيد بن هارون الواسطي', 'يزيد هو ابن هارون', 'يزيد وهو ابن هارون', 'يزيد يعني ابن هارون']",ثقة متقن عابد .,-,-,السلمي مولاهم ، الواسطي ، ويقال : البخاري الأصل,السلمي مولاهم ، كاتب أبي شيبة القاضي جد أبي بكر بن أبي شيبة ، مولى بجيلة .,-,أبو خالد .,206 هـ .,التاسعة .,قال أحمد : حافظ متقن ، وقال ابن  المديني : ما رأيت أحفظ منه ، وقال العجلي : ثبت متعبد حسن الصلاة جدا ، يصلي الضحى ست عشرة ركعة ، وقد عمي .,العراق .,117هـ ، أو : 118 هـ .,واسط .,-,71,"[668, 666, 502, 563, 290, 321, 1123, 41, 57, 820, 633, 686, 817, 1753, 669, 1523, 1541, 404, 239, 1143, 585, 596, 1316, 453, 373, 794, 497, 603, 544, 82, 426, 1273, 1001, 285, 86, 749, 299, 65, 459, 438, 152, 16, 867, 334, 138, 662, 616, 1318, 1115, 441, 157, 757, 377, 690, 716, 1239, 122, 260, 219, 2, 483, 640, 879, 369, 723, 21]","[658, 116, 100, 1772, 70, 1661, 458, 700, 1386, 1173, 154, 284, 415, 956, 1049, 818, 920, 308, 404, 2021, 230, 639, 237, 179, 582, 445, 987, 1272, 773, 1587, 272, 1063, 113, 20, 355, 576, 1250, 133, 1440, 1279, 747, 92, 401, 1034, 126, 135, 2155, 0, 247, 1156, 534, 347, 613, 567, 999, 763, 568, 849, 1077, 219, 1013, 850, 615, 790, 209, 412, 922, 1498, 1231, 512, 465, 456, 106, 656, 193, 1819, 392, 318, 1407, 877, 1636, 150, 719, 178, 1537]",670
القاسم بن أبي المنذر : أحمد بن محمد بن أحمد بن منصور,"['أبو طلحة القاسم بن أبي المنذر', 'أبو طلحة القاسم بن أبي المنذر الخطيب', 'القاسم الخطيب', 'القاسم بن أبي المنذر', 'القاسم بن أبي المنذر الجعيد', 'القاسم بن أبي المنذر الخطيب']",-,-,-,الخطيب ، القزويني,-,-,أبو طلحة,409 هـ ، وقيل : 410 هـ,-,-,-,-,-,-,72,[73],[1332],986
